iter	Passed	Remaining
794	4503	1161
795	4508	1155
796	4513	1149
797	4519	1143
798	4524	1138
799	4530	1132
800	4535	1126
801	4540	1121
802	4546	1115
803	4551	1109
804	4557	1103
805	4562	1098
806	4567	1092
807	4573	1086
808	4578	1080
809	4583	1075
810	4589	1069
811	4595	1063
812	4600	1058
813	4606	1052
814	4611	1046
815	4618	1041
816	4624	1035
817	4629	1030
818	4635	1024
819	4641	1018
820	4646	1013
821	4652	1007
822	4657	1001
823	4663	996
824	4668	990
825	4674	984
826	4680	979
827	4685	973
828	4691	967
829	4696	961
830	4701	956
831	4707	950
832	4712	944
833	4718	939
834	4724	933
835	4730	927
836	4736	922
837	4742	916
838	4748	911
839	4754	905
840	4760	899
841	4765	894
842	4771	888
843	4776	882
844	4782	877
845	4788	871
846	4793	865
847	4799	860
848	4804	854
849	4810	848
850	4816	843
851	4822	837
852	4827	831
853	4833	826
854	4839	820
855	4844	814
856	4850	809
857	4855	803
858	4862	798
859	4867	792
860	4873	786
861	4878	781
862	4884	775
863	4890	769
864	4895	764
865	4900	758
866	4906	752
867	4912	747
868	4918	741
869	4923	735
870	4929	730
871	4934	724
872	4940	718
873	4945	712
874	4951	707
875	4956	701
876	4961	695
877	4967	690
878	4972	684
879	4977	678
880	4983	673
881	4988	667
882	4994	661
883	4999	656
884	5005	650
885	5010	644
886	5016	639
887	5022	633
888	5027	627
889	5032	622
890	5038	616
891	5043	610
892	5048	604
893	5053	599
894	5059	593
895	5064	587
896	5069	582
897	5075	576
898	5081	570
899	5087	565
900	5092	559
901	5098	553
902	5104	548
903	5110	542
904	5116	537
905	5121	531
906	5126	525
907	5132	520
908	5137	514
909	5143	508
910	5148	502
911	5154	497
912	5159	491
913	5164	485
914	5170	480
915	5176	474
916	5181	469
917	5187	463
918	5193	457
919	5199	452
920	5204	446
921	5211	440
922	5216	435
923	5222	429
924	5227	423
925	5233	418
926	5239	412
927	5244	406
928	5250	401
929	5255	395
930	5261	389
931	5266	384
932	5271	378
933	5277	372
934	5282	367
935	5287	361
936	5294	355
937	5299	350
938	5305	344
939	5311	339
940	5316	333
941	5322	327
942	5328	322
943	5334	316
944	5340	310
945	5345	305
946	5351	299
947	5356	293
948	5362	288
949	5367	282
950	5373	276
951	5378	271
952	5384	265
953	5390	259
954	5395	254
955	5401	248
956	5407	242
957	5413	237
958	5418	231
959	5424	226
960	5430	220
961	5435	214
962	5440	209
963	5446	203
964	5452	197
965	5457	192
966	5463	186
967	5469	180
968	5474	175
969	5480	169
970	5485	163
971	5491	158
972	5496	152
973	5502	146
974	5507	141
975	5513	135
976	5519	129
977	5524	124
978	5529	118
979	5534	112
980	5539	107
981	5545	101
982	5550	95
983	5556	90
984	5561	84
985	5567	79
986	5572	73
987	5578	67
988	5584	62
989	5590	56
990	5595	50
991	5602	45
992	5607	39
993	5612	33
994	5618	28
995	5624	22
996	5629	16
997	5635	11
998	5641	5
999	5646	0
